date	strMMDD	TempDailyAvg	CloudCoverDailyAvg	CloudCoverDailyAvgInt	PercipDailyTotal	PercipDailyTotalInt
2014-02-01	02-01	7.4	3.4166667	3	2.0	2
2014-02-02	02-02	7.6291666	2.0833333	2	0.0	0
2014-02-03	02-03	5.929167	3.0	3	0.0	0
2014-02-04	02-04	6.8416667	4.5	5	0.8	1
2014-02-05	02-05	8.058333	5.0416665	5	6.0	6
2014-02-06	02-06	7.8541665	5.1666665	5	8.0	8
2014-02-07	02-07	7.7458334	4.5833335	5	2.0	2
2014-02-08	02-08	8.029166	4.0	4	9.2	9
2014-02-09	02-09	6.695833	4.5416665	5	0.4	0
2014-02-10	02-10	5.4	4.8333335	5	1.2	1
2014-02-11	02-11	5.3416667	3.125	3	4.0	4
2014-02-12	02-12	6.075	4.2916665	4	8.0	8
2014-02-13	02-13	5.570833	1.8333334	2	0.0	0
2014-02-14	02-14	6.945833	5.2916665	5	10.0	10
2014-02-15	02-15	8.470834	3.25	3	2.4	2
2014-02-16	02-16	6.179167	1.0833334	1	0.0	0
2014-02-17	02-17	7.429167	4.75	5	0.4	0
2014-02-18	02-18	8.275	4.1666665	4	11.0	11
2014-02-19	02-19	7.508333	6.8333335	7	0.2	0
2014-02-20	02-20	9.6875	5.75	6	2.8	3
2014-02-21	02-21	6.516667	2.1666667	2	0.4	0
2014-02-22	02-22	7.891667	2.4583333	2	0.0	0
2014-02-23	02-23	10.491667	5.0	5	0.0	0
2014-02-24	02-24	10.2	3.875	4	0.4	0
2014-02-25	02-25	8.579166	3.7083333	4	7.4	7
2014-02-26	02-26	7.233333	0.875	1	0.0	0
2014-02-27	02-27	7.545833	3.1666667	3	5.0	5
2014-02-28	02-28	5.1375	5.5416665	6	10.0	10
2014-03-01	03-01	4.875	2.9583333	3	2.0	2
2014-03-02	03-02	7.0125	5.2916665	5	0.4	0
2014-03-03	03-03	5.9333334	3.0416667	3	15.0	15
2014-03-04	03-04	5.608333	3.375	3	0.2	0
2014-03-05	03-05	6.858333	1.8333334	2	0.4	0
2014-03-06	03-06	8.791667	2.25	2	0.0	0
2014-03-07	03-07	10.941667	3.4583333	3	0.0	0
2014-03-08	03-08	10.779166	2.25	2	0.0	0
2014-03-09	03-09	12.425	0.0	0	0.0	0
2014-03-10	03-10	8.375	3.7916667	4	0.0	0
2014-03-11	03-11	8.208333	5.9166665	6	0.0	0
2014-03-12	03-12	8.475	0.5833333	1	0.0	0
2014-03-13	03-13	9.4	1.5833334	2	0.2	0
2014-03-14	03-14	9.391666	0.41666666	0	0.0	0
2014-03-15	03-15	11.5375	2.1666667	2	0.0	0
2014-03-16	03-16	12.4375	0.0	0	0.0	0
2014-03-17	03-17	9.8	2.1666667	2	0.0	0
2014-03-18	03-18	10.241667	5.6666665	6	0.0	0
2014-03-19	03-19	10.4375	1.25	1	0.0	0
2014-03-20	03-20	10.2625	6.7083335	7	0.0	0
2014-03-21	03-21	8.866667	4.0	4	6.0	6
2014-03-22	03-22	7.0833335	2.75	3	9.0	9
2014-03-23	03-23	6.1541667	2.625	3	0.0	0
2014-03-24	03-24	5.775	2.4166667	2	0.0	0
2014-03-25	03-25	6.795833	5.2916665	5	12.2	12
2014-03-26	03-26	4.570833	3.6666667	4	2.2	2
2014-03-27	03-27	5.8875	3.2916667	3	0.0	0
2014-03-28	03-28	8.083333	3.2916667	3	0.0	0
2014-03-29	03-29	13.104167	3.0	3	0.0	0
2014-03-30	03-30	13.504348	2.3043478	2	0.0	0
2014-03-31	03-31	13.795834	4.7083335	5	0.0	0
2014-04-01	04-01	12.3875	3.75	4	3.0	3
2014-04-02	04-02	14.175	3.9166667	4	0.0	0
2014-04-03	04-03	13.633333	4.75	5	0.0	0
2014-04-04	04-04	12.545834	4.0	4	0.0	0
2014-04-05	04-05	11.070833	5.125	5	0.0	0
2014-04-06	04-06	13.554167	7.5833335	8	5.0	5
2014-04-07	04-07	12.754167	6.1666665	6	3.4	3
2014-04-08	04-08	9.45	1.9166666	2	4.0	4
2014-04-09	04-09	10.691667	2.0416667	2	0.0	0
2014-04-10	04-10	11.5125	4.2916665	4	0.0	0
2014-04-11	04-11	12.483334	5.5833335	6	0.0	0
2014-04-12	04-12	10.354167	3.0	3	0.0	0
2014-04-13	04-13	11.65	1.9583334	2	0.0	0
2014-04-14	04-14	11.033334	1.0416666	1	0.0	0
2014-04-15	04-15	9.408334	0.33333334	0	0.0	0
2014-04-16	04-16	10.166667	0.20833333	0	0.0	0
2014-04-17	04-17	11.629167	2.7916667	3	0.0	0
2014-04-18	04-18	9.408334	2.875	3	0.0	0
2014-04-19	04-19	8.908334	3.2083333	3	0.0	0
2014-04-20	04-20	10.033334	5.0	5	10.0	10
2014-04-21	04-21	11.725	2.7083333	3	0.2	0
2014-04-22	04-22	11.816667	6.4166665	6	0.0	0
2014-04-23	04-23	11.716666	3.1666667	3	0.8	1
2014-04-24	04-24	13.070833	4.3333335	4	4.0	4
2014-04-25	04-25	10.1125	5.9583335	6	6.6	7
2014-04-26	04-26	11.5375	3.0416667	3	2.0	2
2014-04-27	04-27	11.404166	5.7083335	6	1.4	1
2014-04-28	04-28	12.766666	5.3333335	5	0.0	0
2014-04-29	04-29	12.658334	3.0833333	3	0.0	0
2014-04-30	04-30	12.583333	1.5416666	2	0.0	0
2014-05-01	05-01	11.425	6.5833335	7	9.0	9
2014-05-02	05-02	10.0625	6.2083335	6	8.0	8
2014-05-03	05-03	8.891666	0.5833333	1	0.0	0
2014-05-04	05-04	10.825	0.75	1	0.0	0
2014-05-05	05-05	12.608334	1.9166666	2	0.0	0
2014-05-06	05-06	14.5	4.9130435	5	0.4	0
2014-05-07	05-07	13.116667	5.3333335	5	1.8	2
2014-05-08	05-08	12.945833	7.0833335	7	8.0	8
2014-05-09	05-09	13.875	4.0833335	4	0.4	0
2014-05-10	05-10	12.925	5.4583335	5	5.2	5
2014-05-11	05-11	11.179167	6.5833335	7	0.6	1
2014-05-12	05-12	11.854167	4.75	5	3.0	3
2014-05-13	05-13	11.254167	5.5416665	6	19.0	19
2014-05-14	05-14	13.370833	0.75	1	0.2	0
2014-05-15	05-15	14.854167	1.8333334	2	0.0	0
2014-05-16	05-16	16.254168	1.5416666	2	0.0	0
2014-05-17	05-17	17.7625	2.0	2	0.0	0
2014-05-18	05-18	18.1	0.25	0	0.0	0
2014-05-19	05-19	19.8	1.2916666	1	0.0	0
2014-05-20	05-20	16.770834	3.9583333	4	0.0	0
2014-05-21	05-21	14.904166	2.4166667	2	0.0	0
2014-05-22	05-22	14.433333	4.7083335	5	13.2	13
2014-05-23	05-23	13.3625	4.5416665	5	3.6	4
2014-05-24	05-24	12.804167	5.2083335	5	14.0	14
2014-05-25	05-25	13.870833	2.0416667	2	0.0	0
2014-05-26	05-26	11.295834	6.0416665	6	12.0	12
2014-05-27	05-27	11.9875	6.9166665	7	7.0	7
2014-05-28	05-28	12.1375	7.25	7	16.0	16
2014-05-29	05-29	15.295834	5.9583335	6	0.0	0
2014-05-30	05-30	14.179167	6.8333335	7	0.0	0
2014-05-31	05-31	14.25	4.5	5	0.0	0
2014-06-01	06-01	17.016666	4.2083335	4	0.0	0
2014-06-02	06-02	16.3125	5.7083335	6	0.2	0
2014-06-03	06-03	14.858334	5.5416665	6	1.4	1
2014-06-04	06-04	12.220834	4.9166665	5	5.8	6
2014-06-05	06-05	14.079166	3.375	3	7.0	7
2014-06-06	06-06	16.429167	1.125	1	0.0	0
2014-06-07	06-07	18.1375	3.4583333	3	4.0	4
2014-06-08	06-08	18.791666	2.625	3	0.0	0
2014-06-09	06-09	19.6125	3.9166667	4	0.0	0
2014-06-10	06-10	17.9	1.7083334	2	2.0	2
2014-06-11	06-11	17.029167	1.625	2	0.0	0
2014-06-12	06-12	19.18261	1.0434783	1	0.0	0
2014-06-13	06-13	20.4875	1.7083334	2	0.0	0
2014-06-14	06-14	18.379168	4.75	5	12.0	12
2014-06-15	06-15	15.641666	6.7916665	7	0.0	0
2014-06-16	06-16	15.041667	6.0833335	6	0.0	0
2014-06-17	06-17	16.329166	3.875	4	0.0	0
2014-06-18	06-18	17.65	4.7916665	5	0.4	0
2014-06-19	06-19	16.625	2.7083333	3	0.0	0
2014-06-20	06-20	16.95	3.75	4	0.0	0
2014-06-21	06-21	18.720833	1.5416666	2	0.0	0
2014-06-22	06-22	19.35	2.8333333	3	0.0	0
2014-06-23	06-23	19.616667	4.3333335	4	0.0	0
2014-06-24	06-24	18.991667	2.5416667	3	0.0	0
2014-06-25	06-25	16.766666	2.7083333	3	0.0	0
2014-06-26	06-26	16.508333	3.5833333	4	0.0	0
2014-06-27	06-27	17.766666	3.0	3	2.0	2
2014-06-28	06-28	14.9375	4.0416665	4	0.0	0
2014-06-29	06-29	15.183333	5.0	5	0.0	0
2014-06-30	06-30	15.354167	4.2083335	4	0.6	1
2014-07-01	07-01	17.683332	2.0	2	0.0	0
2014-07-02	07-02	18.329166	1.25	1	0.0	0
2014-07-03	07-03	20.525	0.875	1	0.0	0
2014-07-04	07-04	19.945833	2.0833333	2	0.0	0
2014-07-05	07-05	18.05	6.4583335	6	5.0	5
2014-07-06	07-06	16.85	4.1363635	4	0.8	1
2014-07-07	07-07	16.041666	2.0	2	1.6	2
2014-07-08	07-08	15.883333	5.1666665	5	4.0	4
2014-07-09	07-09	17.3375	3.0416667	3	8.0	8
2014-07-10	07-10	17.495832	4.125	4	0.0	0
2014-07-11	07-11	16.65	5.125	5	0.8	1
2014-07-12	07-12	18.505882	4.8235292	5	0.0	0
2014-07-13	07-13	18.318182	6.0	6	2.0	2
2014-07-14	07-14	18.495455	2.2727273	2	0.0	0
2014-07-15	07-15	21.029167	4.4166665	4	0.0	0
2014-07-16	07-16	20.691668	2.2083333	2	0.0	0
2014-07-17	07-17	22.566668	2.625	3	0.0	0
2014-07-18	07-18	23.979166	2.8333333	3	7.0	7
2014-07-19	07-19	23.095833	3.5416667	4	2.2	2
2014-07-20	07-20	21.179167	3.125	3	0.0	0
2014-07-21	07-21	21.425	1.8333334	2	0.0	0
2014-07-22	07-22	21.508333	0.5833333	1	0.0	0
2014-07-23	07-23	21.970833	0.8333333	1	0.0	0
2014-07-24	07-24	22.891666	0.875	1	0.0	0
2014-07-25	07-25	20.383333	2.9166667	3	0.0	0
2014-07-26	07-26	23.383333	2.7083333	3	0.0	0
2014-07-27	07-27	21.6125	2.4166667	2	0.0	0
2014-07-28	07-28	18.5	5.3333335	5	0.0	0
2014-07-29	07-29	20.945833	3.2083333	3	0.0	0
2014-07-30	07-30	20.466667	2.0833333	2	0.0	0
2014-07-31	07-31	20.033333	1.625	2	0.0	0
2014-08-01	08-01	19.570833	2.0833333	2	0.0	0
2014-08-02	08-02	19.15	3.1666667	3	2.0	2
2014-08-03	08-03	18.154167	1.625	2	0.0	0
2014-08-04	08-04	18.670834	3.125	3	0.0	0
2014-08-05	08-05	18.758333	2.6666667	3	0.0	0
2014-08-06	08-06	21.788235	1.882353	2	0.0	0
2014-08-07	08-07	22.37647	1.882353	2	0.0	0
2014-08-08	08-08	19.404167	4.6666665	5	0.0	0
2014-08-09	08-09	18.166666	3.7083333	4	0.0	0
2014-08-10	08-10	17.566668	4.5416665	5	17.0	17
2014-08-11	08-11	16.245832	1.75	2	0.0	0
2014-08-12	08-12	15.854167	2.2916667	2	0.0	0
2014-08-13	08-13	16.733334	2.125	2	0.8	1
2014-08-14	08-14	15.870833	4.6666665	5	6.0	6
2014-08-15	08-15	15.783334	5.125	5	0.4	0
2014-08-16	08-16	16.245832	4.5	5	0.0	0
2014-08-17	08-17	16.3	4.7916665	5	1.8	2
2014-08-18	08-18	14.970834	3.75	4	0.4	0
2014-08-19	08-19	13.85	3.5833333	4	0.8	1
2014-08-20	08-20	13.6875	2.625	3	0.0	0
2014-08-21	08-21	13.4	3.6666667	4	0.0	0
2014-08-22	08-22	15.633333	4.4583335	4	0.0	0
2014-08-23	08-23	13.879167	3.2083333	3	1.2	1
2014-08-24	08-24	13.5375	2.5416667	3	0.4	0
2014-08-25	08-25	15.175	5.875	6	6.2	6
2014-08-26	08-26	15.483334	4.375	4	12.0	12
2014-08-27	08-27	15.670834	4.2916665	4	0.0	0
2014-08-28	08-28	18.104166	4.3333335	4	1.2	1
2014-08-29	08-29	17.225	3.8333333	4	0.0	0
2014-08-30	08-30	17.45	5.0	5	0.8	1
2014-08-31	08-31	16.9625	1.7916666	2	0.0	0
2014-09-01	09-01	15.8875	5.25	5	2.0	2
2014-09-02	09-02	17.133333	3.25	3	1.2	1
2014-09-03	09-03	18.258333	2.625	3	0.0	0
2014-09-04	09-04	17.708334	3.5416667	4	0.0	0
2014-09-05	09-05	18.2	4.5416665	5	0.0	0
2014-09-06	09-06	18.466667	2.625	3	0.0	0
2014-09-07	09-07	16.820833	2.1666667	2	0.0	0
2014-09-08	09-08	16.395834	0.29166666	0	0.0	0
2014-09-09	09-09	16.683332	2.5	3	0.0	0
2014-09-10	09-10	15.75	1.8333334	2	0.0	0
2014-09-11	09-11	14.941667	2.9583333	3	0.0	0
2014-09-12	09-12	17.175	2.4583333	2	0.0	0
2014-09-13	09-13	16.429167	3.9166667	4	0.0	0
2014-09-14	09-14	16.404167	1.5833334	2	0.0	0
2014-09-15	09-15	16.466667	2.1666667	2	0.0	0
2014-09-16	09-16	17.658333	2.9166667	3	0.0	0
2014-09-17	09-17	17.654167	4.7083335	5	0.0	0
2014-09-18	09-18	19.358334	2.75	3	0.0	0
2014-09-19	09-19	19.358334	4.25	4	6.0	6
2014-09-20	09-20	17.25	6.5833335	7	0.0	0
2014-09-21	09-21	14.841666	3.7916667	4	0.2	0
2014-09-22	09-22	13.45	0.33333334	0	0.4	0
2014-09-23	09-23	13.416667	1.7916666	2	0.0	0
2014-09-24	09-24	14.429167	2.9583333	3	1.8	2
2014-09-25	09-25	14.175	3.5833333	4	0.0	0
2014-09-26	09-26	17.641666	6.2083335	6	0.0	0
2014-09-27	09-27	17.370832	6.9166665	7	0.0	0
2014-09-28	09-28	18.970833	2.625	3	0.0	0
2014-09-29	09-29	15.979167	2.6666667	3	1.4	1
2014-09-30	09-30	17.379168	3.5	4	0.0	0
2014-10-01	10-01	17.4125	4.7083335	5	1.2	1
2014-10-02	10-02	17.4625	4.25	4	0.0	0
2014-10-03	10-03	15.891666	3.25	3	0.0	0
2014-10-04	10-04	13.6	3.6666667	4	7.0	7
2014-10-05	10-05	10.083333	0.5	1	0.0	0
2014-10-06	10-06	11.15	5.7083335	6	11.0	11
2014-10-07	10-07	11.05	2.9583333	3	3.2	3
2014-10-08	10-08	12.733334	3.0	3	2.2	2
2014-10-09	10-09	13.458333	2.4166667	2	2.6	3
2014-10-10	10-10	13.3625	1.6666666	2	4.4	4
2014-10-11	10-11	13.129167	3.8333333	4	0.8	1
2014-10-12	10-12	10.658334	3.1666667	3	2.0	2
2014-10-13	10-13	12.508333	7.75	8	9.8	10
2014-10-14	10-14	12.995833	7.5833335	8	8.4	8
2014-10-15	10-15	13.358334	6.25	6	3.8	4
2014-10-16	10-16	14.625	4.25	4	12.2	12
2014-10-17	10-17	16.083334	4.3333335	4	3.0	3
2014-10-18	10-18	17.9	5.5416665	6	0.8	1
2014-10-19	10-19	16.983334	3.875	4	2.0	2
2014-10-20	10-20	14.275	4.7083335	5	0.2	0
2014-10-21	10-21	12.391666	4.0416665	4	5.4	5
2014-10-22	10-22	10.158334	2.8333333	3	0.0	0
2014-10-23	10-23	13.970834	6.5833335	7	0.0	0
2014-10-24	10-24	15.058333	6.0	6	2.0	2
2014-10-25	10-25	11.908334	4.75	5	0.4	0
2014-10-26	10-26	13.668	6.64	7	0.0	0
2014-10-27	10-27	15.095834	2.7916667	3	0.0	0
2014-10-28	10-28	14.429167	1.2083334	1	0.2	0
2014-10-29	10-29	13.2625	7.5833335	8	3.0	3
2014-10-30	10-30	15.354167	4.3333335	4	0.8	1
2014-10-31	10-31	16.470833	0.5	1	0.2	0
2014-11-01	11-01	15.2125	2.6666667	3	0.4	0
2014-11-02	11-02	13.829166	5.6666665	6	0.4	0
2014-11-03	11-03	9.083333	4.125	4	9.2	9
2014-11-04	11-04	7.075	3.8333333	4	0.2	0
2014-11-05	11-05	7.0875	4.3333335	4	10.0	10
2014-11-06	11-06	7.0875	3.5833333	4	0.4	0
2014-11-07	11-07	11.279166	4.0833335	4	16.0	16
2014-11-08	11-08	10.879167	4.7083335	5	2.2	2
2014-11-09	11-09	9.5125	3.25	3	4.0	4
2014-11-10	11-10	9.833333	3.3333333	3	0.0	0
2014-11-11	11-11	11.554167	4.9166665	5	0.2	0
2014-11-12	11-12	11.283334	3.7916667	4	7.2	7
2014-11-13	11-13	11.3875	4.625	5	2.2	2
2014-11-14	11-14	11.525	2.7916667	3	2.0	2
2014-11-15	11-15	9.3125	3.5416667	4	2.2	2
2014-11-16	11-16	9.683333	5.25	5	0.2	0
2014-11-17	11-17	8.554167	5.8333335	6	11.0	11
2014-11-18	11-18	9.616667	4.9166665	5	0.4	0
2014-11-19	11-19	8.833333	2.3333333	2	0.0	0
2014-11-20	11-20	8.104167	3.5833333	4	0.0	0
2014-11-21	11-21	7.025	4.5	5	1.2	1
2014-11-22	11-22	12.866667	6.7083335	7	1.4	1
2014-11-23	11-23	8.758333	5.9583335	6	9.4	9
2014-11-24	11-24	3.9208333	0.083333336	0	0.4	0
2014-11-25	11-25	5.4791665	5.625	6	2.2	2
2014-11-26	11-26	8.75	7.5	8	12.0	12
2014-11-27	11-27	9.395833	5.75	6	10.0	10
2014-11-28	11-28	10.945833	5.875	6	0.0	0
2014-11-29	11-29	10.575	4.25	4	0.8	1
2014-11-30	11-30	8.833333	5.0833335	5	0.2	0
2014-12-01	12-01	7.445833	7.9583335	8	0.0	0
2014-12-02	12-02	6.945833	7.1666665	7	2.0	2
2014-12-03	12-03	6.1	3.875	4	0.4	0
2014-12-04	12-04	4.3416667	7.3333335	7	5.0	5
2014-12-05	12-05	4.3166666	4.4583335	4	0.4	0
2014-12-06	12-06	2.6958334	0.45833334	0	0.4	0
2014-12-07	12-07	6.8333335	3.75	4	1.0	1
2014-12-08	12-08	4.320833	1.7083334	2	0.0	0
2014-12-09	12-09	4.9666667	2.7083333	3	0.4	0
2014-12-10	12-10	7.795833	2.0833333	2	1.4	1
2014-12-11	12-11	7.45	2.6666667	3	0.0	0
2014-12-12	12-12	7.225	3.9583333	4	11.2	11
2014-12-13	12-13	2.7	1.5833334	2	0.0	0
2014-12-14	12-14	5.570833	3.1666667	3	0.4	0
2014-12-15	12-15	7.0041666	3.9166667	4	1.2	1
2014-12-16	12-16	4.3166666	2.375	2	0.2	0
2014-12-17	12-17	11.1375	6.9166665	7	11.0	11
2014-12-18	12-18	12.929167	7.5416665	8	0.4	0
2014-12-19	12-19	9.579166	3.4166667	3	1.4	1
2014-12-20	12-20	6.9375	2.375	2	0.0	0
2014-12-21	12-21	8.7625	5.625	6	0.0	0
2014-12-22	12-22	12.45	6.8333335	7	0.0	0
2014-12-23	12-23	11.533334	5.4166665	5	0.0	0
2014-12-24	12-24	8.658334	4.3333335	4	0.4	0
2014-12-25	12-25	4.9583335	0.45833334	0	0.0	0
2014-12-26	12-26	3.4416666	3.125	3	4.0	4
2014-12-27	12-27	3.3958333	4.9583335	5	9.0	9
2014-12-28	12-28	2.1083333	0.5	1	0.0	0
2014-12-29	12-29	0.87083334	0.041666668	0	0.4	0
2014-12-30	12-30	0.825	0.9583333	1	0.4	0
2014-12-31	12-31	-0.4	0.0	0	0.0	0
